entry_time,exit_time,direction,entry_price,exit_price,rsi_at_entry,gross_profit_bps,net_profit_bps,mfe_bps,mae_bps,exit_bar,exit_reason,is_winner,hold_hours
2024-01-13 06:30:00,2024-01-13 06:45:00,SHORT,43070.0,43110.32000000001,83.77891484117984,-9.361504527513485,-17.361504527513485,20.638495472486515,-18.57441374506617,1,TRAILING_STOP,False,0.25
2024-01-13 07:00:00,2024-01-13 08:15:00,SHORT,43149.99,43194.27997,85.88049307198709,-10.26419009598931,-18.26419009598931,19.73580990401069,-24.32677272926394,5,TRAILING_STOP,False,1.25
2024-01-15 03:30:00,2024-01-15 05:00:00,SHORT,42617.86,42626.86358,81.01489275256718,-2.1126307139779996,-10.112630713978,27.887369286022,-48.52895006929013,6,TRAILING_STOP,False,1.5
2024-01-19 07:00:00,2024-01-19 08:45:00,SHORT,41474.01,41267.75203,86.56420010349218,49.731860989569185,41.731860989569185,79.73186098956918,-3.151371184025781,7,TRAILING_STOP,True,1.75
2024-01-23 03:15:00,2024-01-23 04:15:00,SHORT,40109.63,40099.848889999994,86.2675579853309,2.438593923703756,-5.561406076296244,32.438593923703756,-16.73164275013272,4,TRAILING_STOP,False,1.0
2024-01-31 00:00:00,2024-01-31 00:30:00,LONG,42941.1,42968.9378,19.916670005207706,6.4827868871550045,-1.5172131128449955,26.482786887155005,-20.31387179182553,2,TRAILING_STOP,False,0.5
2024-02-12 04:00:00,2024-02-12 05:45:00,LONG,48145.0,48087.14,19.96791705176824,-12.017862706407666,-20.017862706407666,7.982137293592333,-25.381659570048207,7,TRAILING_STOP,False,1.75
2024-02-13 14:15:00,2024-02-13 14:30:00,LONG,49126.0,49065.748,19.924541597545513,-12.264788503033017,-20.264788503033017,7.735211496966983,-85.62879127142521,1,TRAILING_STOP,False,0.25
2024-02-17 19:45:00,2024-02-17 20:45:00,SHORT,51411.1,51457.23330000001,86.74110172105351,-8.97341235647583,-16.97341235647583,21.02658764352417,-29.1590726516265,4,TRAILING_STOP,False,1.0
2024-02-17 21:00:00,2024-02-17 21:15:00,SHORT,51514.01,51621.31203,84.13149794534407,-20.829679149418723,-28.829679149418723,9.170320850581277,-78.64462502530813,1,TRAILING_STOP,False,0.25
2024-02-24 05:30:00,2024-02-24 10:00:00,SHORT,51032.72,51091.87816,88.84969109800628,-11.592202022545077,-19.592202022545077,18.407797977454923,-24.7096372680113,18,TRAILING_STOP,False,4.5
2024-03-14 23:15:00,2024-03-15 00:15:00,SHORT,71700.0,71469.09999999999,86.68686474866101,32.20362622036262,24.203626220362622,62.20362622036262,-57.10320781031981,4,TRAILING_STOP,True,1.0
2024-03-16 00:15:00,2024-03-16 01:30:00,SHORT,69772.0,69265.31599999999,83.49374536354574,72.61996216247205,64.61996216247205,102.61996216247205,-28.234821991629882,5,TRAILING_STOP,True,1.25
2024-03-17 10:30:00,2024-03-17 10:45:00,SHORT,67060.04,67003.94012,82.96115529089559,8.36561982366829,0.3656198236682897,38.36561982366829,-17.169688535825422,1,TRAILING_STOP,True,0.25
2024-03-20 09:00:00,2024-03-20 16:15:00,SHORT,62684.71,62510.02413,80.28677664757673,27.867381056719893,19.867381056719893,57.86738105671989,-272.8400594020457,29,TRAILING_STOP,True,7.25
2024-03-20 10:30:00,2024-03-20 11:00:00,SHORT,63256.04,63081.06812,80.09600089526226,27.660896888265214,19.660896888265214,57.66089688826521,0.0,2,TRAILING_STOP,True,0.5
2024-03-23 01:45:00,2024-03-23 03:30:00,SHORT,64074.5,63192.2235,81.38243396443409,137.69541705358608,129.69541705358608,167.69541705358608,-46.88448602798359,7,TRAILING_STOP,True,1.75
2024-03-23 07:15:00,2024-03-23 08:30:00,SHORT,64503.7,64413.511099999996,87.37795147370107,13.981973127122487,5.981973127122487,43.98197312712249,-54.79375601709705,5,TRAILING_STOP,True,1.25
2024-03-29 20:30:00,2024-03-29 22:00:00,SHORT,69646.95,69498.94085,84.44844704125157,21.25134697212112,13.25134697212112,51.25134697212112,0.0,6,TRAILING_STOP,True,1.5
2024-03-30 01:15:00,2024-03-30 04:45:00,SHORT,69960.61,69959.88183,84.51063082059358,0.10408285462356304,-7.895917145376437,30.104082854623563,-31.054617734178528,14,TRAILING_STOP,False,3.5
2024-04-01 04:30:00,2024-04-06 09:30:00,LONG,70601.54,67888.81,13.935841749959636,-384.230995527859,-392.230995527859,0.0,-865.2035068923418,500,TIME_EXIT,False,125.0
2024-04-01 21:45:00,2024-04-01 22:30:00,SHORT,69699.99,69787.05997,83.30307818155354,-12.492106526844722,-20.492106526844722,17.507893473155278,-19.226688554760877,3,TRAILING_STOP,False,0.75
2024-04-03 04:00:00,2024-04-03 04:15:00,SHORT,66225.79,66318.67737,82.92072404012018,-14.025860620161177,-22.025860620161176,15.974139379838823,-18.290457539276566,1,TRAILING_STOP,False,0.25
