horizon,norm_window,min_expectancy,max_distance,k,min_mfe,max_bars_in_trade,sample_interval,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
1,300,0.0,2.0,150,0.004,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.004,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.004,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,150,0.005,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.002,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.003,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.004,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,2.0,200,0.005,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.002,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.003,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.004,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,100,0.005,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.002,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.003,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.004,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,150,0.005,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.002,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.003,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.004,10,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,0,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,0,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,0,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,5,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,5,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,5,1,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,10,5,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,10,10,NONE,0,0,0,0,0,0,0,0
1,300,0.0,3.0,200,0.005,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.002,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.003,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.004,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,100,0.005,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.002,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.003,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.004,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,150,0.005,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.002,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.003,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.004,10,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,0,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,0,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,0,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,5,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,5,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,5,1,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,10,5,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,10,10,NONE,0,0,0,0,0,0,0,0
2,300,0.0,2.0,200,0.005,10,1,NONE,0,0,0,0,0,0,0,0
